nom_produit,lien_produit,Description,img_produit
Bull 100ml Fizzy Juice,https://www.aromes-et-liquides.fr/e-liquide-fizzy-juice/15095-bull-100ml.html,E-liquide 100ml : un goût frais de boisson énergisante !,https://assets.aromes-et-liquides.fr/51552-thickbox_default/bull-100ml.jpg
Cocktail 100ml Fizzy Juice,https://www.aromes-et-liquides.fr/e-liquide-fizzy-juice/15096-cocktail-100ml.html,"Litchis, mangues et pêches dans un mix frais",https://assets.aromes-et-liquides.fr/44841-thickbox_default/cocktail-100ml.jpg
Blue Slush 100ml Slush Chuffed,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14068-blue-slush-100ml-slush.html,Un granité frais à la framboise bleue,https://assets.aromes-et-liquides.fr/41531-thickbox_default/blue-slush-100ml-slush.jpg
Cola Pomme Fruizee,https://www.aromes-et-liquides.fr/e-liquide-fruizee/3887-e-liquide-fruizee-pomme-cola-par-eliquid-france.html,Un mix de saveur de cola et de pomme avec un goût frais !,https://assets.aromes-et-liquides.fr/54553-thickbox_default/e-liquide-fruizee-pomme-cola-par-eliquid-france.jpg
Yellow Stone 200ml Hello...,https://www.aromes-et-liquides.fr/e-liquide-hello-cloudy/13380-yellow-stone-200-ml.html,"Limonade, citron vert et pointe de cactus",https://assets.aromes-et-liquides.fr/45722-thickbox_default/yellow-stone-200-ml.jpg
Thé Pêche Solana,https://www.aromes-et-liquides.fr/e-liquide-solana/3705-e-liquide-the-peche-par-solana.html,Votre boisson fruitée au goût de pêche,https://assets.aromes-et-liquides.fr/54575-thickbox_default/e-liquide-the-peche-par-solana.jpg
Kola 100ml Fizzy Juice,https://www.aromes-et-liquides.fr/e-liquide-fizzy-juice/15098-kola-100ml.html,Un soda frais au cola dans 100ml à booster,https://assets.aromes-et-liquides.fr/44843-thickbox_default/kola-100ml.jpg
Bübü Saiyen Vapors,https://www.aromes-et-liquides.fr/e-liquide-saiyen-vapors/11957-bubu-saiyen-vapors.html,"Bubble gum, grenade et energy drink dans un e-liquide !",https://assets.aromes-et-liquides.fr/54468-thickbox_default/bubu-saiyen-vapors.jpg
Cherry Cola 100ml Cola...,https://www.aromes-et-liquides.fr/e-liquide-kingston/15105-cherry-cola-100ml-cola.html,Votre e-liquide cola cerise revisité par Kingston,https://assets.aromes-et-liquides.fr/44880-thickbox_default/cherry-cola-100ml-cola.jpg
Grenade Pilée Petit Nuage,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/10470-e-liquide-grenade-pilee-par-petit-nuage.html,Une grenadine accompagnée de glace pilée !,https://assets.aromes-et-liquides.fr/54436-thickbox_default/e-liquide-grenade-pilee-par-petit-nuage.jpg
Freezy Cola 50ml Les...,https://www.aromes-et-liquides.fr/e-liquide-al-creations/15162-freezy-cola-50ml.html,Le Mister Freezy Cola en e-liquide et en format 60ml à booster !,https://assets.aromes-et-liquides.fr/45027-thickbox_default/freezy-cola-50ml.jpg
Lemonade 100ml Fizzy Juice,https://www.aromes-et-liquides.fr/e-liquide-fizzy-juice/15099-lemonade-100ml.html,Une citronnade fraîche pour votre e-cigarette,https://assets.aromes-et-liquides.fr/44844-thickbox_default/lemonade-100ml.jpg
Punch 100ml Fizzy Juice,https://www.aromes-et-liquides.fr/e-liquide-fizzy-juice/15100-punch-100ml.html,Fraise et ananas dans une recette fraîche type punch !,https://assets.aromes-et-liquides.fr/44845-thickbox_default/punch-100ml.jpg
Lemon Fizz Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/8627-e-liquide-lemon-fizz-par-vdlv.html,Une limonade au citron à vaper !,https://assets.aromes-et-liquides.fr/54991-thickbox_default/e-liquide-lemon-fizz-par-vdlv.jpg
Café Expresso Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/5542-e-liquide-cirkus-cafe-expresso-par-vdlv.html,Un café pur arabica à vapoter !,https://assets.aromes-et-liquides.fr/54986-thickbox_default/e-liquide-cirkus-cafe-expresso-par-vdlv.jpg
Strawberry Lemonade 100ml...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14694-strawberry-lemonade-100ml-soda.html,Une limonade et des fraises dans 100ml de e-liquide,https://assets.aromes-et-liquides.fr/43726-thickbox_default/strawberry-lemonade-100ml-soda.jpg
Classic Cola 100ml Cola...,https://www.aromes-et-liquides.fr/e-liquide-kingston/15106-classic-cola-100ml-cola.html,Un cola frais pour votre cigarette électronique !,https://assets.aromes-et-liquides.fr/44881-thickbox_default/classic-cola-100ml-cola.jpg
Frozen Bübü Saiyen Vapors,https://www.aromes-et-liquides.fr/e-liquide-saiyen-vapors/14082-frozen-buebue.html,"Votre mix bubble gum, grenade et energy drink en version fraîche",https://assets.aromes-et-liquides.fr/54472-thickbox_default/frozen-buebue.jpg
Pina Fraise Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/5535-e-liquide-cirkus-pina-fraise-par-vdlv.html,Lait de coco et fraise dans une-liquide signé VDLV !,https://assets.aromes-et-liquides.fr/54983-thickbox_default/e-liquide-cirkus-pina-fraise-par-vdlv.jpg
Cola VDLV,https://www.aromes-et-liquides.fr/e-liquide-vdlv/10227-e-liquide-cola-par-vdlv.html,Un cola en e-liquide 10ml prêt à vaper,https://assets.aromes-et-liquides.fr/54992-thickbox_default/e-liquide-cola-par-vdlv.jpg
Le Café Du Saint Amour PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/6505-e-liquide-le-cafe-du-saint-amour-pulp.html,Un café au lait dans un e-liquide prêt à l'emploi,https://assets.aromes-et-liquides.fr/54926-thickbox_default/e-liquide-le-cafe-du-saint-amour-pulp.jpg
