nom_produit,url_produit,img_produit
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2304-ry4-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46611-large/ry4-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3572-le-petit-blond-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46621-large/le-petit-blond-le-petit-vapoteur.jpg?v=111
Alfaliquid FR-M,https://www.lepetitvapoteur.com/fr/alfaliquid/222-alfaliquid-fr-m.html,https://www.lepetitvapoteur.com/44117-large/alfaliquid-fr-m.jpg?v=111
Classic Blend,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2302-classic-blend-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46609-large/classic-blend-le-petit-vapoteur.jpg?v=111
Pack Classic LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5939-pack-classic-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46698-large/pack-classic-le-petit-vapoteur.jpg?v=111
Le Petit Sec,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5711-e-liquide-le-petit-sec-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46691-large/e-liquide-le-petit-sec-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2301-classic-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46608-large/classic-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2308-classic-menthe.html,https://www.lepetitvapoteur.com/46615-large/classic-menthe.jpg?v=111
Pack Classic LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5939-pack-classic-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46698-large/pack-classic-le-petit-vapoteur.jpg?v=111
Le Petit Trio LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8533-le-petit-trio-lpv.html,https://www.lepetitvapoteur.com/46700-large/le-petit-trio-lpv.jpg?v=111
RY4,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2304-ry4-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46611-large/ry4-le-petit-vapoteur.jpg?v=111
Le Petit Sec,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5711-e-liquide-le-petit-sec-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46691-large/e-liquide-le-petit-sec-le-petit-vapoteur.jpg?v=111
Le Petit Cubain,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5667-e-liquide-le-petit-cubain-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46704-large/e-liquide-le-petit-cubain-le-petit-vapoteur.jpg?v=111
Classic Blend,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2302-classic-blend-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46609-large/classic-blend-le-petit-vapoteur.jpg?v=111
Le Petit Blond,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3572-le-petit-blond-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46621-large/le-petit-blond-le-petit-vapoteur.jpg?v=111
Classic USA,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2303-classic-usa-.html,https://www.lepetitvapoteur.com/46610-large/classic-usa-.jpg?v=111
Le Petit Brun,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5666-e-liquide-le-petit-brun-cigarillos-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46631-large/e-liquide-le-petit-brun-cigarillos-le-petit-vapoteur.jpg?v=111
Classic Light,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5668-e-liquide-classic-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46632-large/e-liquide-classic-le-petit-vapoteur.jpg?v=111
Classic Menthe,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2308-classic-menthe.html,https://www.lepetitvapoteur.com/46615-large/classic-menthe.jpg?v=111
Classic Léger aux sels de nicotine,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/6157-e-liquide-classic-leger-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46634-large/e-liquide-classic-leger-le-petit-vapoteur.jpg?v=111
Classic Intense aux sels de nicotine,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/6158-e-liquide-classic-intense-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46635-large/e-liquide-classic-intense-le-petit-vapoteur.jpg?v=111
Classic 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8024-e-liquide-classic-50-ml.html,https://www.lepetitvapoteur.com/28504-large/e-liquide-classic-50-ml.jpg?v=111
RY4 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8039-e-liquide-ry4-50-ml.html,https://www.lepetitvapoteur.com/28512-large/e-liquide-ry4-50-ml.jpg?v=111
Classic Blend 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8025-e-liquide-classic-blend-50-ml.html,https://www.lepetitvapoteur.com/28505-large/e-liquide-classic-blend-50-ml.jpg?v=111
Classic USA 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8027-e-liquide-classic-usa-50-ml.html,https://www.lepetitvapoteur.com/28507-large/e-liquide-classic-usa-50-ml.jpg?v=111
