nom_produit,lien_produit,Description,img_produit
A&L Classic FR,https://www.aromes-et-liquides.fr/e-liquide-al/9194-e-liquide-classic-fr-par-al.html,Un classic blond dans un e-liquide prêt à l'emploi,https://assets.aromes-et-liquides.fr/53643-thickbox_default/e-liquide-classic-fr-par-al.jpg
A&L Ryan USA,https://www.aromes-et-liquides.fr/e-liquide-al-ryan/9191-e-liquide-ryan-usa-par-al.html,Un classic caramel et vanille prêt à l'emploi !,https://assets.aromes-et-liquides.fr/53644-thickbox_default/e-liquide-ryan-usa-par-al.jpg
Classic FR-M Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1436-e-liquide-tabac-fr-m-alfaliquid-10ml.html,Un e-liquide classic fruité déjà prêt à l'emploi. Le spécial débutant !,https://assets.aromes-et-liquides.fr/55025-thickbox_default/e-liquide-tabac-fr-m-alfaliquid-10ml.jpg
Classic FR4 Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1433-e-liquide-tabac-fr4-alfaliquid-10ml.html,Une saveur classic avec un goût de caramel dans un prêt à vaper,https://assets.aromes-et-liquides.fr/55024-thickbox_default/e-liquide-tabac-fr4-alfaliquid-10ml.jpg
Classic FR Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/3286-e-liquide-cirkus-classic-fr-par-vdlv.html,Un classic blond revisité par VDLV,https://assets.aromes-et-liquides.fr/55002-thickbox_default/e-liquide-cirkus-classic-fr-par-vdlv.jpg
Classic American Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1437-e-liquide-tabac-american-alfaliquid-10ml.html,Un recette de e-liquide au goût de classic américain par Alfaliquid,https://assets.aromes-et-liquides.fr/55026-thickbox_default/e-liquide-tabac-american-alfaliquid-10ml.jpg
USA Classic D'LICE,https://www.aromes-et-liquides.fr/e-liquide-d-lice/5330-e-liquide-usa-classic-10ml-par-d-lice.html,Un e-liquide à la saveur de classic blond aux goût complexe,https://assets.aromes-et-liquides.fr/54542-thickbox_default/e-liquide-usa-classic-10ml-par-d-lice.jpg
Relax Eliquid France,https://www.aromes-et-liquides.fr/e-liquide-eliquid-france/2494-e-liquide-relax-par-eliquid-france.html,Un e-liquide classic au goût de café vanille et aux cookies,https://assets.aromes-et-liquides.fr/54554-thickbox_default/e-liquide-relax-par-eliquid-france.jpg
USA Menthe D'LICE,https://www.aromes-et-liquides.fr/e-liquide-d-lice/5331-e-liquide-usa-menthe-10ml-par-d-lice.html,Le mix d'un classic blond et d'une menthe dans un prêt à vaper !,https://assets.aromes-et-liquides.fr/54541-thickbox_default/e-liquide-usa-menthe-10ml-par-d-lice.jpg
Suprême Eliquid France,https://www.aromes-et-liquides.fr/e-liquide-eliquid-france/2495-supreme-e-liquid-by-eliquid-france.html,"Classic blond, cookie, vanille, et noix de coco dans un prêt à vaper !",https://assets.aromes-et-liquides.fr/54555-thickbox_default/supreme-e-liquid-by-eliquid-france.jpg
