nom_produit,lien_produit,Description,img_produit
La Chose Le French Liquide,https://www.aromes-et-liquides.fr/e-liquide-le-french-liquide/1884-e-liquide-la-chose-par-le-french-liquide.html,"Le célèbre e-liquide au goût de café, caramel et vanille",https://assets.aromes-et-liquides.fr/54442-thickbox_default/e-liquide-la-chose-par-le-french-liquide.jpg
Tutti Frutti 100ml Sweets...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14074-tutti-frutti-100ml-sweets.html,Des bonbons aux fruits pour votre cigarette électronique,https://assets.aromes-et-liquides.fr/41534-thickbox_default/tutti-frutti-100ml-sweets.jpg
Menthe Chlorophylle Cirkus...,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/3292-e-liquide-cirkus-menthe-chlorophylle-par-vdlv.html,Une saveur de chewing-gum à la chlorophylle,https://assets.aromes-et-liquides.fr/54970-thickbox_default/e-liquide-cirkus-menthe-chlorophylle-par-vdlv.jpg
Strawberry Candy Floss...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14072-strawberry-candy-floss-100ml-sweets.html,Une barbe à papa à la fraise dans 100ml de e-liquide,https://assets.aromes-et-liquides.fr/41517-thickbox_default/strawberry-candy-floss-100ml-sweets.jpg
E-liquide Lemon Tart 50ml par Vape Dinner Lady ,https://www.aromes-et-liquides.fr/e-liquide-vape-dinner-lady/4740-e-liquide-lemon-tart-60ml-par-vape-dinner-lady-.html,Une tarte au citron meringuée par les anglais Dinner Lady,https://assets.aromes-et-liquides.fr/29244-thickbox_default/e-liquide-lemon-tart-60ml-par-vape-dinner-lady-.jpg
La Noisette 200ml Jin & Juice,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/15122-la-noisette-200ml.html,"Noisette, glace vanille, caramel et notes de classic en e-liquide 200ml",https://assets.aromes-et-liquides.fr/44875-thickbox_default/la-noisette-200ml.jpg
Vanille Extrême PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/1401-e-liquide-vanille-extreme-pulp-10ml.html,Les saveurs d'une gousse de vanille en e-liquide,https://assets.aromes-et-liquides.fr/54913-thickbox_default/e-liquide-vanille-extreme-pulp-10ml.jpg
Fraise Candy 50ml Sweety...,https://www.aromes-et-liquides.fr/e-liquide-sweety-fruits/15196-fraise-candy-50ml-sweety-fruits.html,Une saveur fraîche de fraise façon bonbon en 50ml !,https://assets.aromes-et-liquides.fr/53825-thickbox_default/fraise-candy-50ml-sweety-fruits.jpg
Corne de gazelle PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/603-e-liquide-corne-de-gazelle-pulp-20ml.html,"Amande, cannelle et fleur d'oranger !",https://assets.aromes-et-liquides.fr/54909-thickbox_default/e-liquide-corne-de-gazelle-pulp-20ml.jpg
Candy Cola Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1412-e-liquide-candy-cola-alfaliquid-10ml.html,Un e-liquide au goût de bonbon au cola en 10ml !,https://assets.aromes-et-liquides.fr/55017-thickbox_default/e-liquide-candy-cola-alfaliquid-10ml.jpg
Le Popcorn 200ml Jin & Juice,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/15118-le-popcorn-200ml.html,Du pop-corn au caramel et cacahuètes !,https://assets.aromes-et-liquides.fr/44860-thickbox_default/le-popcorn-200ml.jpg
Tribeca Halo,https://www.aromes-et-liquides.fr/e-liquide-halo/5199-e-liquide-tribeca-10ml-par-halo.html,"Un classic, inspiré du RY4, prêt à vaper !",https://assets.aromes-et-liquides.fr/54559-thickbox_default/e-liquide-tribeca-10ml-par-halo.jpg
Barbe À Papa Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/6238-alfaliquid-barbe-a-papa.html,Toutes les saveurs d'une barbe à papa dans un prêt à vaper !,https://assets.aromes-et-liquides.fr/55037-thickbox_default/alfaliquid-barbe-a-papa.jpg
Alucard 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/14633-alucard-50ml.html,"Un milkshake café, vanille, caramel et biscuit en format 50ml",https://assets.aromes-et-liquides.fr/43502-thickbox_default/alucard-50ml.jpg
E-liquide Cinema Réserve 100ml par Cloud of Icarus,https://www.aromes-et-liquides.fr/e-liquide-clouds-of-icarus/4699-e-liquide-cinema-reserve-100ml-par-cloud-of-icarus.html,Un pop-corn à la vanille et à la crème brûlée !,https://assets.aromes-et-liquides.fr/11632-thickbox_default/e-liquide-cinema-reserve-100ml-par-cloud-of-icarus.jpg
Famous Eliquid France,https://www.aromes-et-liquides.fr/e-liquide-eliquid-france/2956-e-liquide-famous-par-eliquid-france.html,Une recette façon classic blond au goût de cookie vanillé et de fruits à coques,https://assets.aromes-et-liquides.fr/54549-thickbox_default/e-liquide-famous-par-eliquid-france.jpg
Macadamia Nut Brittle 200ml...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16336-macadamia-nut-brittle-200ml.html,"Caramel, vanille et noix de macadamia",https://assets.aromes-et-liquides.fr/48542-thickbox_default/macadamia-nut-brittle-200ml.jpg
Lemon Tart Dinner Lady,https://www.aromes-et-liquides.fr/e-liquide-vape-dinner-lady/3496-e-liquide-lemon-tart-par-vape-dinner-lady.html,Une saveur de tarte au citron meringuée en e-liquide prêt à vaper,https://assets.aromes-et-liquides.fr/54538-thickbox_default/e-liquide-lemon-tart-par-vape-dinner-lady.jpg
Pomme Candy 50ml Sweety Fruits,https://www.aromes-et-liquides.fr/e-liquide-sweety-fruits/15194-pomme-candy-50ml-sweety-fruits.html,Un goût frais de bonbon à la pomme verte dans un à booster 50ml,https://assets.aromes-et-liquides.fr/55916-thickbox_default/pomme-candy-50ml-sweety-fruits.jpg
