nom_produit,lien_produit,Description,img_produit
Ragnarok Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/9197-e-liquide-ultimate-ragnarok-par-al.html,Votre mix de fruits rouges frais en version prêt à vaper,https://assets.aromes-et-liquides.fr/53645-thickbox_default/e-liquide-ultimate-ragnarok-par-al.jpg
Oni Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/9200-e-liquide-ultimate-oni-par-al.html,Retrouvez un duo de citron jaune et vert au goût frais,https://assets.aromes-et-liquides.fr/53646-thickbox_default/e-liquide-ultimate-oni-par-al.jpg
A&L Menthe Extra Glaciale,https://www.aromes-et-liquides.fr/e-liquide-al/9179-e-liquide-menthe-extra-glaciale-par-al.html,Une recette aux saveurs mentholées et fraîches par A&L,https://assets.aromes-et-liquides.fr/53639-thickbox_default/e-liquide-menthe-extra-glaciale-par-al.jpg
A&L Menthe Arctique,https://www.aromes-et-liquides.fr/e-liquide-al/9182-e-liquide-menthe-arctique-par-al.html,Un sirop de menthe au goût frais façon A&L,https://assets.aromes-et-liquides.fr/53640-thickbox_default/e-liquide-menthe-arctique-par-al.jpg
Pink Mystery 50ml A&L,https://www.aromes-et-liquides.fr/e-liquide-al/14678-pink-mystery-50ml.html,La version rose du e-liquide Mystery d'A&L,https://assets.aromes-et-liquides.fr/43624-thickbox_default/pink-mystery-50ml.jpg
Red Light 200ml Hello Cloudy,https://www.aromes-et-liquides.fr/e-liquide-hello-cloudy/13379-red-light-200-ml.html,Un e-liquide fruits rouges frais en format 200ml !,https://assets.aromes-et-liquides.fr/45672-thickbox_default/red-light-200-ml.jpg
Red Astaire T-Juice,https://www.aromes-et-liquides.fr/e-liquide-t-juice/3539-e-liquide-red-astaire-par-t-juice.html,"Le best-seller de T-Juice : fruits rouges, raisin, menthol et anis",https://assets.aromes-et-liquides.fr/55065-thickbox_default/e-liquide-red-astaire-par-t-juice.jpg
Heisenberg Vampire Vape,https://www.aromes-et-liquides.fr/e-liquide-vampire-vape/3531-heisenberg.html,"Un e-liquide de légende, fruité et frais, reconnaissable entre tous !",https://assets.aromes-et-liquides.fr/54367-thickbox_default/heisenberg.jpg
Yellow Mystery 50ml A&L,https://www.aromes-et-liquides.fr/e-liquide-al/14751-yellow-mystery-50ml.html,La version jaune du e-liquide Mystery par A&L,https://assets.aromes-et-liquides.fr/43752-thickbox_default/yellow-mystery-50ml.jpg
White Mystery 50ml A&L,https://www.aromes-et-liquides.fr/e-liquide-al/14752-white-mystery-50ml.html,La version blanche du e-liquide Mystery par A&L !,https://assets.aromes-et-liquides.fr/43753-thickbox_default/white-mystery-50ml.jpg
Menthe Glaciale Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1425-e-liquide-menthe-glaciale-alfaliquid-10ml.html,Une saveur de menthe verte avec un goût frais signée Alfaliquid !,https://assets.aromes-et-liquides.fr/55020-thickbox_default/e-liquide-menthe-glaciale-alfaliquid-10ml.jpg
Ragnarok 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13056-ultimate-ragnarok-al-50ml.html,Goût fruits rouges frais en e-liquide 50ml à booster par A&L,https://assets.aromes-et-liquides.fr/47774-thickbox_default/ultimate-ragnarok-al-50ml.jpg
Green Mystery 50ml A&L,https://www.aromes-et-liquides.fr/e-liquide-al/15892-green-mystery-50ml.html,La version verte du e-liquide Mystery par A&L,https://assets.aromes-et-liquides.fr/46913-thickbox_default/green-mystery-50ml.jpg
Menthe Polaire PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/607-e-liquide-menthe-polaire-20ml.html,La recette fraîche et mentholée revisitée par PULP !,https://assets.aromes-et-liquides.fr/54911-thickbox_default/e-liquide-menthe-polaire-20ml.jpg
Spartacus Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/14506-spartacus-ultimate-al.html,"Citron, nectarine et fraîcheur en e-liquide prêt à l'emploi !",https://assets.aromes-et-liquides.fr/53652-thickbox_default/spartacus-ultimate-al.jpg
Player 200ml Hello Cloudy,https://www.aromes-et-liquides.fr/e-liquide-hello-cloudy/13257-player-200ml.html,"Pitaya, fraise, pastèque et fraîcheur !",https://assets.aromes-et-liquides.fr/39762-thickbox_default/player-200ml.jpg
Ragnarok Ultimate A&L Sels...,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13016-ragnarok-ultimate-al-sels-de-nicotine.html,Le e-liquide Ragnarok fruits rouges frais en sel de nicotine !,https://assets.aromes-et-liquides.fr/53650-thickbox_default/ragnarok-ultimate-al-sels-de-nicotine.jpg
Valkyrie Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13005-valkyrie-ultimate.html,"Le goût d'un e-liquide framboises, fruits rouges frais, prêt à l'emploi",https://assets.aromes-et-liquides.fr/53651-thickbox_default/valkyrie-ultimate.jpg
Menthe Chlorophylle Cirkus...,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/3292-e-liquide-cirkus-menthe-chlorophylle-par-vdlv.html,Une saveur de chewing-gum à la chlorophylle,https://assets.aromes-et-liquides.fr/54970-thickbox_default/e-liquide-cirkus-menthe-chlorophylle-par-vdlv.jpg
Purple Blood Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1745-e-liquide-purple-blood-alfaliquid-10ml.html,Une saveur fruitée et fraîche à travers des fruits rouges et menthe,https://assets.aromes-et-liquides.fr/55033-thickbox_default/e-liquide-purple-blood-alfaliquid-10ml.jpg
Fruits Rouges Grenade...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16207-fruits-rouges-grenade-fraise-des-bois-200ml.html,Un bonbon aux fruits rouges dans un e-liquide à booster,https://assets.aromes-et-liquides.fr/50458-thickbox_default/fruits-rouges-grenade-fraise-des-bois-200ml.jpg
Bull 100ml Fizzy Juice,https://www.aromes-et-liquides.fr/e-liquide-fizzy-juice/15095-bull-100ml.html,E-liquide 100ml : un goût frais de boisson énergisante !,https://assets.aromes-et-liquides.fr/51552-thickbox_default/bull-100ml.jpg
Menthe Fraîche Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1424-e-liquide-menthe-fraiche-alfaliquid-10ml.html,Un mentholé frais signé Alfaliquid,https://assets.aromes-et-liquides.fr/55019-thickbox_default/e-liquide-menthe-fraiche-alfaliquid-10ml.jpg
Purple Rain 200ml Hello Cloudy,https://www.aromes-et-liquides.fr/e-liquide-hello-cloudy/13378-purple-rain-200-ml.html,Une barbe à papa à la violette et des fruits rouges frais,https://assets.aromes-et-liquides.fr/55930-thickbox_default/purple-rain-200-ml.jpg
USA Menthe D'LICE,https://www.aromes-et-liquides.fr/e-liquide-d-lice/5331-e-liquide-usa-menthe-10ml-par-d-lice.html,Le mix d'un classic blond et d'une menthe dans un prêt à vaper !,https://assets.aromes-et-liquides.fr/54541-thickbox_default/e-liquide-usa-menthe-10ml-par-d-lice.jpg
Shiva 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/14412-shiva-50ml-ultimate-al.html,Un mélange aux saveurs fraîches et mentholées en 50ml !,https://assets.aromes-et-liquides.fr/42624-thickbox_default/shiva-50ml-ultimate-al.jpg
Citron Orange Mandarine...,https://www.aromes-et-liquides.fr/e-liquide-fruizee/3885-e-liquide-fruizee-citron-orange-mandarine-par-eliquid-france.html,"Une saveur fraîche d'agrumes avec du citron, de la mandarine et de l'orange !",https://assets.aromes-et-liquides.fr/54552-thickbox_default/e-liquide-fruizee-citron-orange-mandarine-par-eliquid-france.jpg
Yakuza Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/15952-yakuza-ultimate-al.html,Un e-liquide frais et prêt à vaper au goût d'ananas et de litchi !,https://assets.aromes-et-liquides.fr/53653-thickbox_default/yakuza-ultimate-al.jpg
Phoenix Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13004-phoenix-ultimate.html,Duo ananas et citron frais dans un e-liquide prêt à vaper,https://assets.aromes-et-liquides.fr/53649-thickbox_default/phoenix-ultimate.jpg
Shiva Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/15953-shiva.html,"Un e-liquide frais et mentholé, prêt à vaper et de qualité premium !",https://assets.aromes-et-liquides.fr/53654-thickbox_default/shiva.jpg
Pomme Cerise Bubble Gum...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16210-pomme-cerise-bubble-gum-200ml.html,Un bubble-gum à la saveur de pomme et de cerise,https://assets.aromes-et-liquides.fr/50457-thickbox_default/pomme-cerise-bubble-gum-200ml.jpg
Dragonfruit and Lychee...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/15254-dragonfruit-and-lychee-100ml-fruits.html,Litchi et pitaya frais : un duo de fruits en 100ml,https://assets.aromes-et-liquides.fr/45171-thickbox_default/dragonfruit-and-lychee-100ml-fruits.jpg
Frozen Lemon And Lime 100ml...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14228-frozen-lemon-and-lime-100ml-ice.html,Un duo de citrons dans un e-liquide frais !,https://assets.aromes-et-liquides.fr/42095-thickbox_default/frozen-lemon-and-lime-100ml-ice.jpg
Cassis Framboise Bleue...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16647-cassis-framboise-bleue-200ml.html,Framboise bleue et cassis dans un mix frais !,https://assets.aromes-et-liquides.fr/49420-thickbox_default/cassis-framboise-bleue-200ml.jpg
Fraise Candy 50ml Sweety...,https://www.aromes-et-liquides.fr/e-liquide-sweety-fruits/15196-fraise-candy-50ml-sweety-fruits.html,Une saveur fraîche de fraise façon bonbon en 50ml !,https://assets.aromes-et-liquides.fr/53825-thickbox_default/fraise-candy-50ml-sweety-fruits.jpg
Oni 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13015-ultimate-oni-al-50ml.html,Un mélange de citron jaune et citron vert avec une saveur fraîche,https://assets.aromes-et-liquides.fr/47775-thickbox_default/ultimate-oni-al-50ml.jpg
Menthe Chlorophylle PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/1400-e-liquide-menthe-chlorophylle-pulp-10ml.html,Des feuilles de menthe dans une recette prête à vaper,https://assets.aromes-et-liquides.fr/54912-thickbox_default/e-liquide-menthe-chlorophylle-pulp-10ml.jpg
Licorne Curieux,https://www.aromes-et-liquides.fr/e-liquide-curieux/13185-licorne-10ml.html,Le célèbre mix de fraise et de fruit du dragon en prêt-à-vaper,https://assets.aromes-et-liquides.fr/54357-thickbox_default/licorne-10ml.jpg
Cocktail 100ml Fizzy Juice,https://www.aromes-et-liquides.fr/e-liquide-fizzy-juice/15096-cocktail-100ml.html,"Litchis, mangues et pêches dans un mix frais",https://assets.aromes-et-liquides.fr/44841-thickbox_default/cocktail-100ml.jpg
Peau De Pêche PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/5794-e-liquide-peau-de-peche-10ml-par-pulp.html,Un e-liquide au goût frais de pêche,https://assets.aromes-et-liquides.fr/54921-thickbox_default/e-liquide-peau-de-peche-10ml-par-pulp.jpg
