nom_produit,url_produit,img_produit
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2307-menthe-polaire-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46614-large/menthe-polaire-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/t-juice/643-red-astaire.html,https://www.lepetitvapoteur.com/32856-large/red-astaire.jpg?v=111
Heisenberg,https://www.lepetitvapoteur.com/fr/e-liquide-vampire-vape/1409-heisenberg.html,https://www.lepetitvapoteur.com/31018-large/heisenberg.jpg?v=111
Citron Givré,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2306-citron-givre-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46613-large/citron-givre-le-petit-vapoteur.jpg?v=111
Menthe douce,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4918-e-liquide-menthe-douce-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46628-large/e-liquide-menthe-douce-le-petit-vapoteur.jpg?v=111
Le Rouge,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3571-le-rouge-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46620-large/le-rouge-le-petit-vapoteur.jpg?v=111
Menthe glaciale,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4914-e-liquide-menthe-glaciale-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46624-large/e-liquide-menthe-glaciale-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/curieux/5635-e-liquide-licorne-curieux-edition-astrale-10-ml.html,https://www.lepetitvapoteur.com/22721-large/e-liquide-licorne-curieux-edition-astrale-10-ml.jpg?v=111
Le Rouge,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3571-le-rouge-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46620-large/le-rouge-le-petit-vapoteur.jpg?v=111
Framboise Fresh,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3479-framboise-fresh.html,https://www.lepetitvapoteur.com/46618-large/framboise-fresh.jpg?v=111
Fraise Fresh,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3478-fraise-fresh.html,https://www.lepetitvapoteur.com/46617-large/fraise-fresh.jpg?v=111
Tropic Ice aux sels de nicotine,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/6164-e-liquide-tropic-ice-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46640-large/e-liquide-tropic-ice-le-petit-vapoteur.jpg?v=111
Le Rouge 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8037-e-liquide-le-rouge-50-ml.html,https://www.lepetitvapoteur.com/28516-large/e-liquide-le-rouge-50-ml.jpg?v=111
Le Rouge 200 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5180-e-liquide-le-rouge-200-ml.html,https://www.lepetitvapoteur.com/21125-large/e-liquide-le-rouge-200-ml.jpg?v=111
Red Astaire TJuice,https://www.lepetitvapoteur.com/fr/t-juice/643-red-astaire.html,https://www.lepetitvapoteur.com/32856-large/red-astaire.jpg?v=111
Japura Amazone 50 ml,https://www.lepetitvapoteur.com/fr/e-liquide-amazone/5227-e-liquide-japura-amazone-50-ml.html,https://www.lepetitvapoteur.com/44621-large/e-liquide-japura-amazone-50-ml.jpg?v=111
Cactus Dictator,https://www.lepetitvapoteur.com/fr/e-liquide-dictator/4850-e-liquide-cactus-dictator.html,https://www.lepetitvapoteur.com/47982-large/e-liquide-cactus-dictator.jpg?v=111
Strawberry Bikini Dinner Lady 50 ml,https://www.lepetitvapoteur.com/fr/dinner-lady/4194-e-liquide-strawberry-bikini-50ml-dinner-lady.html,https://www.lepetitvapoteur.com/30962-large/e-liquide-strawberry-bikini-50ml-dinner-lady.jpg?v=111
