nom_produit,url_produit,img_produit
,https://www.lepetitvapoteur.com/fr/t-juice/643-red-astaire.html,https://www.lepetitvapoteur.com/32856-large/red-astaire.jpg?v=111
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2305-fruits-rouges-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46612-large/fruits-rouges-le-petit-vapoteur.jpg?v=111
Heisenberg,https://www.lepetitvapoteur.com/fr/e-liquide-vampire-vape/1409-heisenberg.html,https://www.lepetitvapoteur.com/31018-large/heisenberg.jpg?v=111
Citron Givré,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2306-citron-givre-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46613-large/citron-givre-le-petit-vapoteur.jpg?v=111
Le Rouge,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3571-le-rouge-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46620-large/le-rouge-le-petit-vapoteur.jpg?v=111
Licorne Astrale Curieux,https://www.lepetitvapoteur.com/fr/curieux/5635-e-liquide-licorne-curieux-edition-astrale-10-ml.html,https://www.lepetitvapoteur.com/22721-large/e-liquide-licorne-curieux-edition-astrale-10-ml.jpg?v=111
Pack Fruité LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5935-pack-fruite-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46695-large/pack-fruite-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5663-e-liquide-peche-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46629-large/e-liquide-peche-le-petit-vapoteur.jpg?v=111
Pack Fruité LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5935-pack-fruite-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46695-large/pack-fruite-le-petit-vapoteur.jpg?v=111
Pack Frais LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5937-pack-frais-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46697-large/pack-frais-le-petit-vapoteur.jpg?v=111
Le Rouge,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3571-le-rouge-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46620-large/le-rouge-le-petit-vapoteur.jpg?v=111
Pêche,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5663-e-liquide-peche-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46629-large/e-liquide-peche-le-petit-vapoteur.jpg?v=111
Cassis Fresh,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/9364-e-liquide-cassis-fresh.html,https://www.lepetitvapoteur.com/46642-large/e-liquide-cassis-fresh.jpg?v=111
Citron Givré,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2306-citron-givre-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46613-large/citron-givre-le-petit-vapoteur.jpg?v=111
