nom_produit,lien_produit,Description,img_produit
Ragnarok Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/9197-e-liquide-ultimate-ragnarok-par-al.html,Votre mix de fruits rouges frais en version prêt à vaper,https://assets.aromes-et-liquides.fr/53645-thickbox_default/e-liquide-ultimate-ragnarok-par-al.jpg
Oni Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/9200-e-liquide-ultimate-oni-par-al.html,Retrouvez un duo de citron jaune et vert au goût frais,https://assets.aromes-et-liquides.fr/53646-thickbox_default/e-liquide-ultimate-oni-par-al.jpg
A&L Fruits Rouges,https://www.aromes-et-liquides.fr/e-liquide-al/9185-e-liquide-fruits-rouges-par-al.html,Une saveur de fruits rouges dans un e-liquide prêt à vaper !,https://assets.aromes-et-liquides.fr/53641-thickbox_default/e-liquide-fruits-rouges-par-al.jpg
Red Light 200ml Hello Cloudy,https://www.aromes-et-liquides.fr/e-liquide-hello-cloudy/13379-red-light-200-ml.html,Un e-liquide fruits rouges frais en format 200ml !,https://assets.aromes-et-liquides.fr/45672-thickbox_default/red-light-200-ml.jpg
Red Astaire T-Juice,https://www.aromes-et-liquides.fr/e-liquide-t-juice/3539-e-liquide-red-astaire-par-t-juice.html,"Le best-seller de T-Juice : fruits rouges, raisin, menthol et anis",https://assets.aromes-et-liquides.fr/55065-thickbox_default/e-liquide-red-astaire-par-t-juice.jpg
A&L Pomme,https://www.aromes-et-liquides.fr/e-liquide-al/9188-e-liquide-pomme-par-al.html,Une pomme verte dans une recette 100% française et prête à l'emploi,https://assets.aromes-et-liquides.fr/53642-thickbox_default/e-liquide-pomme-par-al.jpg
Heisenberg Vampire Vape,https://www.aromes-et-liquides.fr/e-liquide-vampire-vape/3531-heisenberg.html,"Un e-liquide de légende, fruité et frais, reconnaissable entre tous !",https://assets.aromes-et-liquides.fr/54367-thickbox_default/heisenberg.jpg
Ragnarok 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13056-ultimate-ragnarok-al-50ml.html,Goût fruits rouges frais en e-liquide 50ml à booster par A&L,https://assets.aromes-et-liquides.fr/47774-thickbox_default/ultimate-ragnarok-al-50ml.jpg
Fraise Sauvage PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/1832-e-liquide-fraise-sauvage-pulp.html,Une saveur de fraises des bois dans un e-liquide prêt à l'emploi !,https://assets.aromes-et-liquides.fr/54914-thickbox_default/e-liquide-fraise-sauvage-pulp.jpg
Spartacus Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/14506-spartacus-ultimate-al.html,"Citron, nectarine et fraîcheur en e-liquide prêt à l'emploi !",https://assets.aromes-et-liquides.fr/53652-thickbox_default/spartacus-ultimate-al.jpg
Fruits Rouges Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1495-red-fruits-e-liquid-by-alfaliquid-10ml.html,Une multitude de saveurs de fruits rouges dans un e-liquide,https://assets.aromes-et-liquides.fr/55030-thickbox_default/red-fruits-e-liquid-by-alfaliquid-10ml.jpg
Player 200ml Hello Cloudy,https://www.aromes-et-liquides.fr/e-liquide-hello-cloudy/13257-player-200ml.html,"Pitaya, fraise, pastèque et fraîcheur !",https://assets.aromes-et-liquides.fr/39762-thickbox_default/player-200ml.jpg
Valkyrie Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13005-valkyrie-ultimate.html,"Le goût d'un e-liquide framboises, fruits rouges frais, prêt à l'emploi",https://assets.aromes-et-liquides.fr/53651-thickbox_default/valkyrie-ultimate.jpg
Ragnarok Ultimate A&L Sels...,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13016-ragnarok-ultimate-al-sels-de-nicotine.html,Le e-liquide Ragnarok fruits rouges frais en sel de nicotine !,https://assets.aromes-et-liquides.fr/53650-thickbox_default/ragnarok-ultimate-al-sels-de-nicotine.jpg
Purple Blood Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1745-e-liquide-purple-blood-alfaliquid-10ml.html,Une saveur fruitée et fraîche à travers des fruits rouges et menthe,https://assets.aromes-et-liquides.fr/55033-thickbox_default/e-liquide-purple-blood-alfaliquid-10ml.jpg
Fruits Rouges Grenade...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16207-fruits-rouges-grenade-fraise-des-bois-200ml.html,Un bonbon aux fruits rouges dans un e-liquide à booster,https://assets.aromes-et-liquides.fr/50458-thickbox_default/fruits-rouges-grenade-fraise-des-bois-200ml.jpg
Miss Fraise Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/2307-e-liquide-miss-fraise-par-alfaliquid.html,Une saveur de fraise dans une recette prête à vaper en 10ml !,https://assets.aromes-et-liquides.fr/55052-thickbox_default/e-liquide-miss-fraise-par-alfaliquid.jpg
Pêche Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1494-e-liquide-peche-alfaliquid-10ml.html,Une saveur de pêche dans une recette prête à vaper !,https://assets.aromes-et-liquides.fr/55050-thickbox_default/e-liquide-peche-alfaliquid-10ml.jpg
Purple Rain 200ml Hello Cloudy,https://www.aromes-et-liquides.fr/e-liquide-hello-cloudy/13378-purple-rain-200-ml.html,Une barbe à papa à la violette et des fruits rouges frais,https://assets.aromes-et-liquides.fr/55930-thickbox_default/purple-rain-200-ml.jpg
Pomme Verte Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1432-e-liquide-pomme-verte-alfaliquid-10ml.html,Une saveur de pomme verte dans une recette prête à vaper,https://assets.aromes-et-liquides.fr/55023-thickbox_default/e-liquide-pomme-verte-alfaliquid-10ml.jpg
Citron Orange Mandarine...,https://www.aromes-et-liquides.fr/e-liquide-fruizee/3885-e-liquide-fruizee-citron-orange-mandarine-par-eliquid-france.html,"Une saveur fraîche d'agrumes avec du citron, de la mandarine et de l'orange !",https://assets.aromes-et-liquides.fr/54552-thickbox_default/e-liquide-fruizee-citron-orange-mandarine-par-eliquid-france.jpg
Yakuza Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/15952-yakuza-ultimate-al.html,Un e-liquide frais et prêt à vaper au goût d'ananas et de litchi !,https://assets.aromes-et-liquides.fr/53653-thickbox_default/yakuza-ultimate-al.jpg
Phoenix Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13004-phoenix-ultimate.html,Duo ananas et citron frais dans un e-liquide prêt à vaper,https://assets.aromes-et-liquides.fr/53649-thickbox_default/phoenix-ultimate.jpg
Exotic Eliquid France,https://www.aromes-et-liquides.fr/e-liquide-eliquid-france/2525-exotic-eliquid-france.html,"Une saveur fruitée à base d'ananas, fruits de la passion, banane, et mangue",https://assets.aromes-et-liquides.fr/54548-thickbox_default/exotic-eliquid-france.jpg
Pomme Cerise Bubble Gum...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16210-pomme-cerise-bubble-gum-200ml.html,Un bubble-gum à la saveur de pomme et de cerise,https://assets.aromes-et-liquides.fr/50457-thickbox_default/pomme-cerise-bubble-gum-200ml.jpg
Pinkman Vampire Vape,https://www.aromes-et-liquides.fr/e-liquide-vampire-vape/3532-e-liquide-pinkman-par-vampire-vape.html,Un mix d'agrumes approuvé par les vapoteurs du monde entier,https://assets.aromes-et-liquides.fr/53591-thickbox_default/e-liquide-pinkman-par-vampire-vape.jpg
Framboise Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1500-e-liquide-framboise-alfaliquid-10ml.html,Une saveur fruitée de framboise dans une recette prête à vaper,https://assets.aromes-et-liquides.fr/55032-thickbox_default/e-liquide-framboise-alfaliquid-10ml.jpg
Dragonfruit and Lychee...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/15254-dragonfruit-and-lychee-100ml-fruits.html,Litchi et pitaya frais : un duo de fruits en 100ml,https://assets.aromes-et-liquides.fr/45171-thickbox_default/dragonfruit-and-lychee-100ml-fruits.jpg
Frozen Lemon And Lime 100ml...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14228-frozen-lemon-and-lime-100ml-ice.html,Un duo de citrons dans un e-liquide frais !,https://assets.aromes-et-liquides.fr/42095-thickbox_default/frozen-lemon-and-lime-100ml-ice.jpg
Cassis Framboise Bleue...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16647-cassis-framboise-bleue-200ml.html,Framboise bleue et cassis dans un mix frais !,https://assets.aromes-et-liquides.fr/49420-thickbox_default/cassis-framboise-bleue-200ml.jpg
Oni 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13015-ultimate-oni-al-50ml.html,Un mélange de citron jaune et citron vert avec une saveur fraîche,https://assets.aromes-et-liquides.fr/47775-thickbox_default/ultimate-oni-al-50ml.jpg
Licorne Curieux,https://www.aromes-et-liquides.fr/e-liquide-curieux/13185-licorne-10ml.html,Le célèbre mix de fraise et de fruit du dragon en prêt-à-vaper,https://assets.aromes-et-liquides.fr/54357-thickbox_default/licorne-10ml.jpg
Peau De Pêche PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/5794-e-liquide-peau-de-peche-10ml-par-pulp.html,Un e-liquide au goût frais de pêche,https://assets.aromes-et-liquides.fr/54921-thickbox_default/e-liquide-peau-de-peche-10ml-par-pulp.jpg
Red Astaire 50 ml,https://www.aromes-et-liquides.fr/e-liquide-t-juice/11238-e-liquide-red-astaire-50ml.html,Un e-liquide mondialement reconnu en grand format 50ml !,https://assets.aromes-et-liquides.fr/40983-thickbox_default/e-liquide-red-astaire-50ml.jpg
Valkyrie 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13003-ultimate-valkyrie-al-50-ml.html,Un mélange de fruits rouges et de saveur fraîche dans 50ml !,https://assets.aromes-et-liquides.fr/47777-thickbox_default/ultimate-valkyrie-al-50-ml.jpg
Pitaya Fraise Pastèque...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16209-pitaya-fraise-pasteque-200ml.html,"Fruit du dragon, pastèque et fraise, dans un mix frais façon bonbon",https://assets.aromes-et-liquides.fr/47882-thickbox_default/pitaya-fraise-pasteque-200ml.jpg
Dragon Freeze Liquideo 50 ml,https://www.aromes-et-liquides.fr/e-liquide-freeze/12625-dragon-freeze-liquideo-50-ml.html,Une saveur de fruits du dragon en e liquide 50ml !,https://assets.aromes-et-liquides.fr/36981-thickbox_default/dragon-freeze-liquideo-50-ml.jpg
Acai Fruit Pot 100ml Fruits...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14066-acai-fruit-pot-100ml-fruits.html,"Fraise, kiwi et baie d'açaï en version 100ml !",https://assets.aromes-et-liquides.fr/41515-thickbox_default/acai-fruit-pot-100ml-fruits.jpg
Mistyk Juice Heroes Liquideo 50 ml,https://www.aromes-et-liquides.fr/e-liquide-liquideo/12627-mistyk-juice-heroes-50-ml.html,Un mix frais de fruits du dragon par Liquideo,https://assets.aromes-et-liquides.fr/36986-thickbox_default/mistyk-juice-heroes-50-ml.jpg
