nom_produit,url_produit,img_produit
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2304-ry4-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46611-large/ry4-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/le-french-liquide/2455-la-chose-le-french-liquide.html,https://www.lepetitvapoteur.com/47919-large/la-chose-le-french-liquide.jpg?v=111
Le Caramel,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3570-le-caramel-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46619-large/le-caramel-le-petit-vapoteur.jpg?v=111
Tribeca Halo,https://www.lepetitvapoteur.com/fr/halo/21-e-liquide-tribeca-halo.html,https://www.lepetitvapoteur.com/14259-large/e-liquide-tribeca-halo.jpg?v=111
Classic USA,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2303-classic-usa-.html,https://www.lepetitvapoteur.com/46610-large/classic-usa-.jpg?v=111
Le Petit Biscuit,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4910-e-liquide-le-petit-biscuit-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46622-large/e-liquide-le-petit-biscuit-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4916-e-liquide-bonbon-fraise-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46626-large/e-liquide-bonbon-fraise-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/green-vapes/675-e-liquide-green-s-custard-green-vapes.html,https://www.lepetitvapoteur.com/47551-large/e-liquide-green-s-custard-green-vapes.jpg?v=111
Pack Gourmand LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5934-pack-gourmand-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46694-large/pack-gourmand-le-petit-vapoteur.jpg?v=111
RY4,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2304-ry4-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46611-large/ry4-le-petit-vapoteur.jpg?v=111
Classic Vanillé,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/9365-e-liquide-classic-vanille.html,https://www.lepetitvapoteur.com/46643-large/e-liquide-classic-vanille.jpg?v=111
Le Caramel,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3570-le-caramel-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46619-large/le-caramel-le-petit-vapoteur.jpg?v=111
La custard,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/3163-la-custard.html,https://www.lepetitvapoteur.com/46616-large/la-custard.jpg?v=111
Le Petit Biscuit,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4910-e-liquide-le-petit-biscuit-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46622-large/e-liquide-le-petit-biscuit-le-petit-vapoteur.jpg?v=111
Bonbon fraise,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4916-e-liquide-bonbon-fraise-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46626-large/e-liquide-bonbon-fraise-le-petit-vapoteur.jpg?v=111
Bonbon banane,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4917-e-liquide-bonbon-banane-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46627-large/e-liquide-bonbon-banane-le-petit-vapoteur.jpg?v=111
RY4 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8039-e-liquide-ry4-50-ml.html,https://www.lepetitvapoteur.com/28512-large/e-liquide-ry4-50-ml.jpg?v=111
Classic Vanillé 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/9370-e-liquide-classic-vanille-50-ml.html,https://www.lepetitvapoteur.com/32917-large/e-liquide-classic-vanille-50-ml.jpg?v=111
