nom_produit,url_produit,img_produit
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2307-menthe-polaire-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46614-large/menthe-polaire-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/t-juice/643-red-astaire.html,https://www.lepetitvapoteur.com/32856-large/red-astaire.jpg?v=111
Citron Givré,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2306-citron-givre-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46613-large/citron-givre-le-petit-vapoteur.jpg?v=111
Menthe douce,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4918-e-liquide-menthe-douce-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46628-large/e-liquide-menthe-douce-le-petit-vapoteur.jpg?v=111
Classic Menthe,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2308-classic-menthe.html,https://www.lepetitvapoteur.com/46615-large/classic-menthe.jpg?v=111
Menthe glaciale,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4914-e-liquide-menthe-glaciale-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46624-large/e-liquide-menthe-glaciale-le-petit-vapoteur.jpg?v=111
,https://www.lepetitvapoteur.com/fr/halo/312-e-liquide-sub-zero-halo.html,https://www.lepetitvapoteur.com/14260-large/e-liquide-sub-zero-halo.jpg?v=111
,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5936-pack-menthole-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46696-large/pack-menthole-le-petit-vapoteur.jpg?v=111
Pack Mentholé LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/5936-pack-menthole-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46696-large/pack-menthole-le-petit-vapoteur.jpg?v=111
Le Petit Trio LPV,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8533-le-petit-trio-lpv.html,https://www.lepetitvapoteur.com/46700-large/le-petit-trio-lpv.jpg?v=111
Menthe Polaire,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2307-menthe-polaire-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46614-large/menthe-polaire-le-petit-vapoteur.jpg?v=111
Menthe glaciale,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4914-e-liquide-menthe-glaciale-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46624-large/e-liquide-menthe-glaciale-le-petit-vapoteur.jpg?v=111
Menthe douce,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/4918-e-liquide-menthe-douce-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46628-large/e-liquide-menthe-douce-le-petit-vapoteur.jpg?v=111
Menthe Étoilée,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/9627-e-liquide-menthe-etoilee.html,https://www.lepetitvapoteur.com/46647-large/e-liquide-menthe-etoilee.jpg?v=111
Classic Menthe,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/2308-classic-menthe.html,https://www.lepetitvapoteur.com/46615-large/classic-menthe.jpg?v=111
Menthe Fraîche aux sels de nicotine,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/6162-e-liquide-menthe-fraiche-le-petit-vapoteur.html,https://www.lepetitvapoteur.com/46638-large/e-liquide-menthe-fraiche-le-petit-vapoteur.jpg?v=111
Menthe Glaciale aux sels de nicotine,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/6163-menthe-glaciale-aux-sels-de-nicotine.html,https://www.lepetitvapoteur.com/46639-large/menthe-glaciale-aux-sels-de-nicotine.jpg?v=111
