nom_produit,lien_produit,Description,img_produit
A&L Menthe Extra Glaciale,https://www.aromes-et-liquides.fr/e-liquide-al/9179-e-liquide-menthe-extra-glaciale-par-al.html,Une recette aux saveurs mentholées et fraîches par A&L,https://assets.aromes-et-liquides.fr/53639-thickbox_default/e-liquide-menthe-extra-glaciale-par-al.jpg
A&L Menthe Arctique,https://www.aromes-et-liquides.fr/e-liquide-al/9182-e-liquide-menthe-arctique-par-al.html,Un sirop de menthe au goût frais façon A&L,https://assets.aromes-et-liquides.fr/53640-thickbox_default/e-liquide-menthe-arctique-par-al.jpg
Heisenberg Vampire Vape,https://www.aromes-et-liquides.fr/e-liquide-vampire-vape/3531-heisenberg.html,"Un e-liquide de légende, fruité et frais, reconnaissable entre tous !",https://assets.aromes-et-liquides.fr/54367-thickbox_default/heisenberg.jpg
Menthe Glaciale Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1425-e-liquide-menthe-glaciale-alfaliquid-10ml.html,Une saveur de menthe verte avec un goût frais signée Alfaliquid !,https://assets.aromes-et-liquides.fr/55020-thickbox_default/e-liquide-menthe-glaciale-alfaliquid-10ml.jpg
Menthe Polaire PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/607-e-liquide-menthe-polaire-20ml.html,La recette fraîche et mentholée revisitée par PULP !,https://assets.aromes-et-liquides.fr/54911-thickbox_default/e-liquide-menthe-polaire-20ml.jpg
Menthe Chlorophylle Cirkus...,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/3292-e-liquide-cirkus-menthe-chlorophylle-par-vdlv.html,Une saveur de chewing-gum à la chlorophylle,https://assets.aromes-et-liquides.fr/54970-thickbox_default/e-liquide-cirkus-menthe-chlorophylle-par-vdlv.jpg
Menthe Fraîche Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1424-e-liquide-menthe-fraiche-alfaliquid-10ml.html,Un mentholé frais signé Alfaliquid,https://assets.aromes-et-liquides.fr/55019-thickbox_default/e-liquide-menthe-fraiche-alfaliquid-10ml.jpg
USA Menthe D'LICE,https://www.aromes-et-liquides.fr/e-liquide-d-lice/5331-e-liquide-usa-menthe-10ml-par-d-lice.html,Le mix d'un classic blond et d'une menthe dans un prêt à vaper !,https://assets.aromes-et-liquides.fr/54541-thickbox_default/e-liquide-usa-menthe-10ml-par-d-lice.jpg
Shiva 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/14412-shiva-50ml-ultimate-al.html,Un mélange aux saveurs fraîches et mentholées en 50ml !,https://assets.aromes-et-liquides.fr/42624-thickbox_default/shiva-50ml-ultimate-al.jpg
Shiva Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/15953-shiva.html,"Un e-liquide frais et mentholé, prêt à vaper et de qualité premium !",https://assets.aromes-et-liquides.fr/53654-thickbox_default/shiva.jpg
Menthe Chlorophylle PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/1400-e-liquide-menthe-chlorophylle-pulp-10ml.html,Des feuilles de menthe dans une recette prête à vaper,https://assets.aromes-et-liquides.fr/54912-thickbox_default/e-liquide-menthe-chlorophylle-pulp-10ml.jpg
Menthe Fraiche D'LICE,https://www.aromes-et-liquides.fr/e-liquide-d-lice/5324-e-liquide-menthe-fraiche-10ml-par-d-lice.html,Un e-liquide à la saveur fraîche de menthe verte !,https://assets.aromes-et-liquides.fr/54544-thickbox_default/e-liquide-menthe-fraiche-10ml-par-d-lice.jpg
Menthocalyptus Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1426-e-liquide-menthocalyptus-alfaliquid-10ml.html,Un duo menthe eucalyptus pour une saveur mentholée et fraîche,https://assets.aromes-et-liquides.fr/55021-thickbox_default/e-liquide-menthocalyptus-alfaliquid-10ml.jpg
Menthe Polaire Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/3291-e-liquide-cirkus-menthe-polaire-par-vdlv.html,Un e-liquide frais et mentholé en 10ml prêt-à-vaper !,https://assets.aromes-et-liquides.fr/54969-thickbox_default/e-liquide-cirkus-menthe-polaire-par-vdlv.jpg
Menthe Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1493-e-liquide-menthe-alfaliquid-10ml.html,Toutes les saveurs d'une menthe verte prête à vaper !,https://assets.aromes-et-liquides.fr/55029-thickbox_default/e-liquide-menthe-alfaliquid-10ml.jpg
Subzero Halo,https://www.aromes-et-liquides.fr/e-liquide-halo/5200-e-liquide-subzero-10ml-par-halo.html,Une saveur mentholée et fraîche dans un e-liquide prêt à l'emploi !,https://assets.aromes-et-liquides.fr/54558-thickbox_default/e-liquide-subzero-10ml-par-halo.jpg
La Menthe Givrée 200ml Jin...,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/15125-la-menthe-givree-200ml.html,Une fraîcheur de menthe dans 200ml à booster,https://assets.aromes-et-liquides.fr/44897-thickbox_default/la-menthe-givree-200ml.jpg
Menthe Glaciale VDLV,https://www.aromes-et-liquides.fr/e-liquide-vdlv/5536-e-liquide-menthe-glaciale-par-vdlv.html,Un e-liquide à la menthe au goût frais !,https://assets.aromes-et-liquides.fr/54984-thickbox_default/e-liquide-menthe-glaciale-par-vdlv.jpg
Bowden's Mate Five Pawns,https://www.aromes-et-liquides.fr/e-liquide-five-pawns/3470-e-liquide-bowden-s-mate-par-five-pawns.html,"Menthe fraîche, chocolat et vanille pour un mix prêt-à-vaper !",https://assets.aromes-et-liquides.fr/54414-thickbox_default/e-liquide-bowden-s-mate-par-five-pawns.jpg
Fraise Menthe Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/10230-e-liquide-cirkus-fraise-menthe-par-vdlv.html,"Fraise, menthe, eucalyptus et anis",https://assets.aromes-et-liquides.fr/54993-thickbox_default/e-liquide-cirkus-fraise-menthe-par-vdlv.jpg
Menthe Boréale Petit Nuage,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/10485-e-liquide-menthe-boreale-par-petit-nuage.html,Une menthe fraîche signée Roykin,https://assets.aromes-et-liquides.fr/54438-thickbox_default/e-liquide-menthe-boreale-par-petit-nuage.jpg
Ice Mint Salt E-Vapor Le...,https://www.aromes-et-liquides.fr/e-liquide-le-french-liquide/6139-e-liquide-ice-mint-salt-e-vapor-par-le-french-liquide.html,Un e-liquide au sel de nicotine à la saveur de menthe fraîche,https://assets.aromes-et-liquides.fr/54342-thickbox_default/e-liquide-ice-mint-salt-e-vapor-par-le-french-liquide.jpg
Menthe Fraîche VDLV,https://www.aromes-et-liquides.fr/e-liquide-vdlv/3748-e-liquide-menthe-fraiche-par-vdlv.html,"Un e-liquide à la menthe fraîche, idéal pour débuter !",https://assets.aromes-et-liquides.fr/54977-thickbox_default/e-liquide-menthe-fraiche-par-vdlv.jpg
Icee Mint Fruizee,https://www.aromes-et-liquides.fr/e-liquide-fruizee/4855-e-liquide-fruizee-icee-mint-par-eliquide-france.html,Une multitude de variétés de saveurs mentholées et fraîches !,https://assets.aromes-et-liquides.fr/54947-thickbox_default/e-liquide-fruizee-icee-mint-par-eliquide-france.jpg
Hollywood Liquideo 50 ml,https://www.aromes-et-liquides.fr/e-liquide-evolution/12701-hollywood-liquideo-50-ml.html,Un chewing-gum à la chlorophylle dans 50ml de e-liquide !,https://assets.aromes-et-liquides.fr/37154-thickbox_default/hollywood-liquideo-50-ml.jpg
The Bear 50ml Secret Garden...,https://www.aromes-et-liquides.fr/e-liquide-secret-garden/16350-the-bear-50ml-secret-s-lab.html,Un duo de menthe pour une vape fraîche !,https://assets.aromes-et-liquides.fr/53554-thickbox_default/the-bear-50ml-secret-s-lab.jpg
Kiss Full Liquideo 50 ml,https://www.aromes-et-liquides.fr/e-liquide-evolution/12626-kiss-full-liquideo-50-ml.html,Une fraîcheur de menthe dans un format de 50ml !,https://assets.aromes-et-liquides.fr/36985-thickbox_default/kiss-full-liquideo-50-ml.jpg
E-liquide Enfer 50ml par Vape47,https://www.aromes-et-liquides.fr/e-liquide-vape47/11010-e-liquide-enfer-50ml.html,Une saveur mentholé et fraîche de menthe verte en format à booster,https://assets.aromes-et-liquides.fr/31830-thickbox_default/e-liquide-enfer-50ml.jpg
Berry Kiss Cool n'fruit...,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/8324-e-liquide-berry-kiss-par-alfaliquid.html,Une saveur fruitée et fraîche de fruits rouges et menthe,https://assets.aromes-et-liquides.fr/55041-thickbox_default/e-liquide-berry-kiss-par-alfaliquid.jpg
E-liquide Aria EGGZ 50ml par Furiosa,https://www.aromes-et-liquides.fr/e-liquide-furiosa/9633-e-liquide-aria-eggz-50ml-par-furiosa.html,"Un mélange frais de baies bleues, de raisin et de menthol noir !",https://assets.aromes-et-liquides.fr/27846-thickbox_default/e-liquide-aria-eggz-50ml-par-furiosa.jpg
Blue Flash Cool n'fruit,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/8327-e-liquide-blue-flash-par-alfaliquid.html,Une recette intensément fruitée et rafraichissante !,https://assets.aromes-et-liquides.fr/55042-thickbox_default/e-liquide-blue-flash-par-alfaliquid.jpg
Menthe Fraîche 50 ml Prestige Fresh,https://www.aromes-et-liquides.fr/e-liquide-prestige-fruits/13638-menthe-fraiche-50-ml-prestige-fresh.html,Une fraîcheur de menthe revue par Prestige Fruits !,https://assets.aromes-et-liquides.fr/40323-thickbox_default/menthe-fraiche-50-ml-prestige-fresh.jpg
Tropic Moon Cool n'fruit...,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/8321-e-liquide-tropic-moon-par-alfaliquid.html,"Des goûts de noix de coco, d'ananas et de banane avec un saveur fraîche",https://assets.aromes-et-liquides.fr/55040-thickbox_default/e-liquide-tropic-moon-par-alfaliquid.jpg
Menthe Polaire 50ml Cirkus...,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/7514-e-liquide-menthe-polaire-50ml-par-vdlv.html,Une menthe fraîche revisitée par Vincent Dans Les Vapes !,https://assets.aromes-et-liquides.fr/55402-thickbox_default/e-liquide-menthe-polaire-50ml-par-vdlv.jpg
Subzero Salts Halo,https://www.aromes-et-liquides.fr/e-liquide-halo/8804-e-liquide-subzero-salts-par-halo.html,Toutes les saveurs fraîches d'une menthe en sel de nicotine !,https://assets.aromes-et-liquides.fr/54243-thickbox_default/e-liquide-subzero-salts-par-halo.jpg
E-liquide Green Flash 80ml par Vaporigins,https://www.aromes-et-liquides.fr/e-liquide-vaporigins/9660-e-liquide-green-flash-80ml-par-vaporigins.html,"Une saveur fraîche de menthe verte, de citron et de cactus en 80ml !",https://assets.aromes-et-liquides.fr/27870-thickbox_default/e-liquide-green-flash-80ml-par-vaporigins.jpg
Pack Mentholé A&L,https://www.aromes-et-liquides.fr/e-liquide-al/16428-pack-menthole-al.html,"3 e-liquides mentholés A&L, taux de nicotine au choix",https://assets.aromes-et-liquides.fr/53668-thickbox_default/pack-menthole-al.jpg
Flocon Vanillé Petit Nuage,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/10473-e-liquide-flocon-vanille-par-petit-nuage.html,Un bonbon alliant les saveurs de menthe et de vanille,https://assets.aromes-et-liquides.fr/54433-thickbox_default/e-liquide-flocon-vanille-par-petit-nuage.jpg
Creme Kong Soft Mint...,https://www.aromes-et-liquides.fr/e-liquide-joe-s-juice/15139-creme-kong-soft-mint-original-200ml.html,Des bonbons à la menthe dans un bidon de 200ml,https://assets.aromes-et-liquides.fr/44926-thickbox_default/creme-kong-soft-mint-original-200ml.jpg
Icee Mint E-Salt Fruizee...,https://www.aromes-et-liquides.fr/e-liquide-fruizee/9486-e-liquide-icee-mint-salt-par-eliquid-france.html,Toutes les saveurs fraîches d'une menthe verte dans un e-liquide au sel de nicotine,https://assets.aromes-et-liquides.fr/54272-thickbox_default/e-liquide-icee-mint-salt-par-eliquid-france.jpg
Flocon Vanillé 60ml Petit...,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/10494-e-liquide-flocon-vanille-60ml-par-petit-nuage.html,Un bonbon à la menthe et à la vanille !,https://assets.aromes-et-liquides.fr/55915-thickbox_default/e-liquide-flocon-vanille-60ml-par-petit-nuage.jpg
Aria Furiosa EGGZ,https://www.aromes-et-liquides.fr/e-liquide-furiosa/12107-aria.html,Un recette à la saveur mentholée au goût de raisin et de myrtille,https://assets.aromes-et-liquides.fr/54577-thickbox_default/aria.jpg
E-liquide Menthe Glaciale 50ml par Solana,https://www.aromes-et-liquides.fr/e-liquide-solana/11181-e-liquide-menthe-glaciale-50ml.html,Une saveur fraîche à travers 5 variétés de menthe !,https://assets.aromes-et-liquides.fr/32349-thickbox_default/e-liquide-menthe-glaciale-50ml.jpg
E-liquide Big Blue 80ml par Vaporigins,https://www.aromes-et-liquides.fr/e-liquide-vaporigins/9654-e-liquide-big-blue-80ml-par-vaporigins.html,Une saveur de fruits des bois avec un goût frais de menthol !,https://assets.aromes-et-liquides.fr/27864-thickbox_default/e-liquide-big-blue-80ml-par-vaporigins.jpg
Menthe Glaciale Sel de...,https://www.aromes-et-liquides.fr/e-liquide-vdlv/13359-menthe-glaciale-sel-de-nicotine.html,Sel de nicotine et fraîcheur mentholée pour ce e liquide 10ml,https://assets.aromes-et-liquides.fr/54238-thickbox_default/menthe-glaciale-sel-de-nicotine.jpg
Menthe Gariguette 60 ml Petit Nuage,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/13418-menthe-gariguette-60-ml.html,Une association fraîche de menthe et de fraises,https://assets.aromes-et-liquides.fr/39371-thickbox_default/menthe-gariguette-60-ml.jpg
